board
"[[None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, 'Destroyer', 'Destroyer', None], [None, None, None, 'Battleship', None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Submarine', None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Submarine', None, None, None], ['Battleship', None, None, None, None, 'Aircraft_Carrier', 'Submarine', None, None, None], ['Battleship', None, None, None, None, 'Aircraft_Carrier', None, None, None, None], ['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, None, None, None, None, None, 'Cruiser', None, None], [None, None, None, 'Destroyer', 'Destroyer', None, None, 'Cruiser', None, None], [None, None, None, None, None, None, None, 'Cruiser', None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None]]"
"[['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, 'Destroyer', 'Destroyer', None, 'Cruiser', None, None, None, None], ['Aircraft_Carrier', None, None, None, None, 'Cruiser', None, None, None, None], ['Aircraft_Carrier', None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, 'Submarine', None, None], [None, None, None, None, None, None, None, 'Submarine', None, None], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', 'Submarine', None, None]]"
"[[None, None, None, 'Battleship', None, 'Destroyer', 'Destroyer', None, None, None], [None, None, None, 'Battleship', None, None, None, None, None, None], [None, None, None, 'Battleship', None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, 'Battleship', None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None]]"
"[[None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, 'Battleship', None, None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Battleship', None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, None, None, None, 'Submarine', None, None, None, None], [None, None, None, None, None, 'Submarine', None, None, None, None], [None, None, None, None, None, 'Submarine', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Destroyer', 'Cruiser', 'Cruiser', 'Cruiser', None], [None, None, None, None, None, 'Destroyer', None, 'Submarine', None, None], [None, None, None, None, None, None, None, 'Submarine', None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, 'Submarine', None, None]]"
"[[None, None, None, None, 'Cruiser', None, None, None, 'Destroyer', 'Destroyer'], [None, None, None, None, 'Cruiser', None, None, None, None, None], [None, None, None, None, 'Cruiser', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None]]"
"[[None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, None, None, None, None, None, 'Destroyer', 'Destroyer'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None]]"
"[[None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None], ['Aircraft_Carrier', None, None, None, None, None, None, 'Destroyer', 'Destroyer', None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], [None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, 'Destroyer', 'Destroyer', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Submarine', None], [None, None, None, None, None, None, None, None, 'Submarine', None], [None, None, None, None, None, None, None, None, 'Submarine', 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, 'Submarine'], [None, None, None, 'Destroyer', 'Destroyer', None, None, None, None, None]]"
"[[None, None, None, None, None, 'Destroyer', 'Destroyer', 'Aircraft_Carrier', None, 'Submarine'], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, 'Submarine'], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, 'Submarine'], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], [None, None, None, None, None, None, None, 'Aircraft_Carrier', None, None], ['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, None, None], ['Battleship', None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None], ['Battleship', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, 'Submarine', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, 'Submarine', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, 'Submarine', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, 'Aircraft_Carrier', None, None, None], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', 'Destroyer', None, None, None], [None, None, None, None, None, None, 'Destroyer', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Battleship', None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], ['Destroyer', None, None, None, None, None, None, None, None, None], ['Destroyer', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, 'Submarine']]"
"[[None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, 'Destroyer', 'Destroyer', None, 'Submarine', None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, None, None, 'Battleship', None, 'Cruiser', None, None], [None, None, None, None, None, 'Battleship', None, 'Cruiser', None, None], [None, None, None, None, None, 'Battleship', None, 'Cruiser', None, None], [None, None, None, None, None, 'Battleship', None, None, None, None]]"
"[[None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Submarine', None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Submarine', None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None], [None, None, 'Submarine', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, 'Aircraft_Carrier', 'Cruiser', None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, 'Aircraft_Carrier', 'Cruiser', None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Cruiser', 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, 'Aircraft_Carrier', None, 'Destroyer', None, None, None, None], [None, None, None, 'Aircraft_Carrier', None, 'Destroyer', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, 'Cruiser', None, None, None], [None, None, None, 'Aircraft_Carrier', None, None, 'Cruiser', 'Destroyer', None, None], [None, None, None, 'Aircraft_Carrier', None, None, 'Cruiser', 'Destroyer', None, None], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, 'Submarine'], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, 'Submarine'], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship']]"
"[['Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, None, None], [None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Destroyer', 'Destroyer', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Cruiser', None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier']]"
"[[None, 'Battleship', None, None, None, None, None, None, None, None], [None, 'Battleship', None, 'Submarine', None, None, None, 'Destroyer', 'Destroyer', None], [None, 'Battleship', None, 'Submarine', None, None, None, None, None, None], [None, 'Battleship', None, 'Submarine', None, None, None, None, None, None], ['Cruiser', None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, 'Battleship', None], [None, None, None, None, None, None, None, None, 'Battleship', None], [None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, 'Battleship', None], [None, None, None, None, 'Destroyer', None, None, None, 'Battleship', None], [None, None, None, None, 'Destroyer', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, 'Cruiser', None, None], [None, None, None, 'Aircraft_Carrier', None, None, 'Battleship', 'Cruiser', None, None], [None, None, None, 'Aircraft_Carrier', None, None, 'Battleship', 'Cruiser', None, None], [None, None, None, 'Aircraft_Carrier', None, None, 'Battleship', None, None, None], [None, None, None, 'Aircraft_Carrier', None, None, 'Battleship', None, None, None], [None, None, None, 'Aircraft_Carrier', 'Destroyer', None, None, None, None, None], [None, None, None, None, 'Destroyer', None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, None]]"
"[['Destroyer', 'Destroyer', None, None, None, None, None, None, None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, 'Cruiser', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship'], [None, None, None, None, None, None, None, None, None, None], ['Submarine', 'Submarine', 'Submarine', None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None]]"
"[['Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, 'Submarine', None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Submarine', None, None, None, None, None], [None, None, None, 'Aircraft_Carrier', 'Submarine', None, None, None, None, 'Battleship'], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship'], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship'], [None, None, None, 'Aircraft_Carrier', None, None, None, None, None, 'Battleship']]"
"[[None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Destroyer', 'Destroyer', None, None, None, 'Cruiser', None, None, None, None], ['Aircraft_Carrier', None, None, None, None, 'Cruiser', None, None, None, None], ['Aircraft_Carrier', None, None, None, None, 'Cruiser', None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Cruiser', None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, 'Cruiser', None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, 'Cruiser', None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, 'Aircraft_Carrier', None, None, 'Submarine', 'Submarine', 'Submarine'], [None, None, None, None, 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship']]"
"[[None, None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Cruiser'], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Cruiser'], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', 'Cruiser'], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, 'Destroyer', 'Destroyer', None, 'Battleship', None, None, None, None], [None, None, None, 'Submarine', None, 'Battleship', None, None, None, None], [None, None, None, 'Submarine', None, 'Battleship', None, None, None, None], [None, None, None, 'Submarine', None, 'Battleship', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None, None], [None, None, None, None, None, None, None, 'Destroyer', None, None], [None, None, None, None, None, None, None, 'Destroyer', None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship'], [None, None, None, None, None, None, None, None, None, 'Battleship']]"
"[[None, None, 'Destroyer', 'Destroyer', None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, None], ['Cruiser', None, None, None, None, None, None, None, None, 'Submarine'], ['Cruiser', None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, 'Destroyer', 'Destroyer', None, None, None, None, None, None, None], [None, None, 'Submarine', None, None, None, None, None, None, None], [None, None, 'Submarine', None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], [None, None, 'Submarine', None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Battleship', None, None, None], [None, None, None, None, None, None, 'Battleship', None, None, None], [None, None, None, None, None, None, 'Battleship', None, None, None], [None, None, None, None, None, None, 'Battleship', None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, 'Submarine', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, 'Submarine', 'Aircraft_Carrier', None, None, None], ['Cruiser', 'Cruiser', 'Cruiser', None, None, 'Submarine', 'Aircraft_Carrier', None, None, None], [None, None, None, None, 'Battleship', None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, 'Battleship', None, 'Aircraft_Carrier', None, None, None], [None, None, None, None, 'Battleship', None, None, None, None, 'Destroyer'], [None, None, None, None, 'Battleship', None, None, None, None, 'Destroyer'], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], [None, None, None, None, None, None, None, None, None, 'Submarine'], ['Aircraft_Carrier', None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], ['Aircraft_Carrier', None, None, None, None, None, None, 'Destroyer', 'Destroyer', None], ['Aircraft_Carrier', None, None, None, None, None, None, None, None, None], [None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None]]"
"[['Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, 'Submarine', 'Submarine', 'Submarine', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Destroyer', None, None, None, None, None, None, None, None, None], ['Destroyer', None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None], [None, None, None, 'Battleship', None, None, None, 'Submarine', None, None], [None, None, None, 'Battleship', None, None, None, 'Submarine', None, None], [None, None, None, 'Battleship', None, None, None, 'Submarine', None, None], [None, None, None, 'Battleship', None, 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, 'Cruiser', None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Destroyer', 'Destroyer', None, None]]"
"[[None, None, None, None, None, None, None, None, 'Destroyer', None], [None, None, None, None, None, None, None, None, 'Destroyer', 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, 'Aircraft_Carrier'], [None, None, None, None, None, None, None, None, None, None], [None, None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None], ['Cruiser', 'Cruiser', 'Cruiser', None, None, None, None, None, None, None], [None, None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine', None]]"
"[[None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], ['Submarine', None, None, None, None, None, None, None, None, None], ['Submarine', None, None, None, None, 'Destroyer', 'Destroyer', None, None, 'Cruiser'], ['Submarine', None, None, None, None, None, None, 'Battleship', None, 'Cruiser'], [None, None, None, None, None, None, None, 'Battleship', None, 'Cruiser'], [None, None, None, None, None, None, None, 'Battleship', None, None], [None, None, None, None, None, None, None, 'Battleship', None, None], ['Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, None, None, None, 'Submarine', None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, None, None], [None, 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', 'Aircraft_Carrier', None, None, None, 'Cruiser'], [None, 'Battleship', 'Battleship', 'Battleship', 'Battleship', None, None, None, None, 'Cruiser'], [None, None, None, None, None, None, None, None, None, 'Cruiser'], [None, None, None, None, 'Destroyer', 'Destroyer', None, None, None, None], [None, None, None, None, None, None, None, None, None, None]]"
"[[None, 'Battleship', None, None, None, None, None, 'Submarine', 'Submarine', 'Submarine'], [None, 'Battleship', None, None, None, None, None, None, None, None], [None, 'Battleship', None, None, None, None, None, None, None, None], ['Destroyer', 'Battleship', None, None, None, None, 'Cruiser', 'Cruiser', 'Cruiser', None], ['Destroyer', None, None, None, None, None, None, None, None, None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None], [None, None, None, None, None, None, None, None, 'Aircraft_Carrier', None]]"
